Kategori,Nama_File,GLCM_Contrast,GLCM_Dissimilarity,GLCM_Homogeneity,GLCM_Energy,GLCM_Correlation,GLCM_ASM,GLCM_Contrast_0deg,GLCM_Homogeneity_0deg,GLCM_Energy_0deg,GLCM_Contrast_45deg,GLCM_Homogeneity_45deg,GLCM_Energy_45deg,GLCM_Contrast_90deg,GLCM_Homogeneity_90deg,GLCM_Energy_90deg,GLCM_Contrast_135deg,GLCM_Homogeneity_135deg,GLCM_Energy_135deg
apel,istockphoto-104118859-612x612.jpg,2.592,0.6415,0.7998,0.5494,0.9888,0.3019,1.9387,0.8172,0.5509,3.1375,0.7869,0.5482,2.0798,0.811,0.5506,3.212,0.7841,0.5481
apel,istockphoto-104118859-612x612.jpg,2.592,0.6415,0.7998,0.5494,0.9888,0.3019,1.9387,0.8172,0.5509,3.1375,0.7869,0.5482,2.0798,0.811,0.5506,3.212,0.7841,0.5481
apel,istockphoto-1071724874-612x612.jpg,1.4664,0.5485,0.7954,0.4412,0.9929,0.1947,1.1537,0.816,0.4428,1.5879,0.7788,0.4398,1.0487,0.8144,0.4427,2.0752,0.7724,0.4396
apel,istockphoto-1071724874-612x612.jpg,1.4664,0.5485,0.7954,0.4412,0.9929,0.1947,1.1537,0.816,0.4428,1.5879,0.7788,0.4398,1.0487,0.8144,0.4427,2.0752,0.7724,0.4396
apel,istockphoto-1129330002-612x612.jpg,1.3058,0.4215,0.8519,0.5491,0.9937,0.3016,0.9755,0.8662,0.5503,1.607,0.839,0.5481,0.982,0.8653,0.5504,1.6584,0.8369,0.5477
apel,istockphoto-1129330002-612x612.jpg,1.3058,0.4215,0.8519,0.5491,0.9937,0.3016,0.9755,0.8662,0.5503,1.607,0.839,0.5481,0.982,0.8653,0.5504,1.6584,0.8369,0.5477
apel,istockphoto-1129330005-612x612.jpg,1.3157,0.4222,0.8497,0.5093,0.9941,0.2593,0.9807,0.8642,0.5105,1.6793,0.8335,0.5078,0.9915,0.8656,0.5108,1.6114,0.8355,0.5078
apel,istockphoto-1129330005-612x612.jpg,1.3157,0.4222,0.8497,0.5093,0.9941,0.2593,0.9807,0.8642,0.5105,1.6793,0.8335,0.5078,0.9915,0.8656,0.5108,1.6114,0.8355,0.5078
apel,istockphoto-1129330007-612x612.jpg,1.3301,0.4249,0.8512,0.5701,0.9937,0.325,1.0031,0.8676,0.5716,1.5942,0.8388,0.5691,0.9993,0.8624,0.5711,1.7239,0.8358,0.5687
apel,istockphoto-1129330007-612x612.jpg,1.3301,0.4249,0.8512,0.5701,0.9937,0.325,1.0031,0.8676,0.5716,1.5942,0.8388,0.5691,0.9993,0.8624,0.5711,1.7239,0.8358,0.5687
apel,istockphoto-1194909938-612x612.jpg,1.2021,0.4248,0.8435,0.5669,0.9939,0.3214,0.9451,0.8602,0.5681,1.4479,0.8298,0.5659,0.8673,0.8559,0.568,1.548,0.8282,0.5657
